id,name,host_total_listings_count,neighbourhood_group_cleansed,accommodates,price,has_availability,availability_365
147275,1 Room INDIVIDUAL in Barcelona,1.0,Horta-Guinardó,1,17.0,t,319
153376,Single room. central and quite,1.0,Ciutat Vella,1,50.0,t,35
425639,House with garden,1.0,Sarrià-Sant Gervasi,8,455.0,t,29
432482,PENTHOUSE with private terrace PANORAMIC VIEW,2.0,Eixample,4,279.0,t,246
438102,Nice quiet room close to S. Familia,2.0,Eixample,1,45.0,t,365
439057,"Paseo de Gracia - Diagonal, 120 m2",6.0,Gràcia,6,145.0,t,191
443110,Mercedes Heritage - 2 Bedroom Apartment,16.0,Eixample,3,311.0,t,96
443222,2-bedroom Bright and Classic Sagrada Familia Flat,23.0,Eixample,5,165.0,t,56
443909,"Barcelona Gotico, great  location, office space",1.0,Ciutat Vella,1,32.0,t,100
449999,Centre. Attic. Big terrace. Lift. Views. Quiet Sun,8.0,Eixample,4,244.0,t,340
154437,Charming room  Diagonal wifi 100 Mb,2.0,Eixample,1,,t,0
162091,✨Cosy Apt near Sagrada Familia / Shared terrace✨,19.0,Eixample,6,302.0,t,104
171646,Sagrada Familia Clot Atico - Wifi/Private/Clean,10.0,Sant Martí,4,162.0,t,71
171816,Sagrada Familia Clot Vista - Wifi/Private/Clean,10.0,Sant Martí,3,162.0,t,79
451758,Loft luminoso y elegante. Centrico.,8.0,Ciutat Vella,4,130.0,t,139
456333,DOUBLE ROOM with WIFI,2.0,Eixample,2,,t,0
462062,Centro Histórico a 15 min. caminando,2.0,Eixample,2,82.0,t,36
469157,Big Central Flat 2XenSuites special offer  50% OFF,5.0,Ciutat Vella,4,201.0,t,363
469177,Cozy Spacius apartment in Paralel for 8,47.0,Sants-Montjuïc,8,223.0,t,61
469710,Loft bohemio muy  cerca de Paseo de Gracia,7.0,Eixample,2,153.0,t,96
472062,close to Paseo de Gracia.,7.0,Gràcia,4,245.0,t,128
473395,Walking distance to Paseo de Gracia,7.0,Sarrià-Sant Gervasi,4,231.0,t,143
174382,Classic Flat near Sagrada Familia / Shared terrace,19.0,Eixample,8,315.0,t,68
188267,"LAST Minute Promotion ,Balconies  and views, city",18.0,Eixample,6,531.0,t,346
190348,Apartment with large terrace,2.0,Les Corts,2,,t,0
473459,GALA - Between Gracia and Sant Gervasi,7.0,Gràcia,4,246.0,t,300
477256,Lightful apartment in Poblenou,6.0,Sant Martí,1,72.0,t,342
480975,Cozy loft with a big terrace!,1.0,Sants-Montjuïc,3,,t,0
481739,The Gaudi Suites II,111.0,Eixample,4,228.0,t,101
482801,DOUBLE ROOM BARCELONA SANTS STATION,5.0,Sants-Montjuïc,2,50.0,t,38
485222,PRIVATE DOUBLE ROOM BARCELONA SANTS,5.0,Sants-Montjuïc,2,28.0,t,47
487233,BOHEMIAN PENTHOUSE DUPLEX,21.0,Sants-Montjuïc,2,237.0,t,79
490517,The Sagrada Penthouse,111.0,Gràcia,5,188.0,t,33
490803,Plaza Sagrada Familia apartment,111.0,Eixample,4,350.0,t,131
196021,"Large patio, 4 baths (3 en-suite), 19th c, central",11.0,Eixample,8,551.0,t,282
196196,✨Large Apt near Sagrada Familia / Shared terrace✨,19.0,Eixample,8,311.0,t,110
493122,lightful apartment in poblenou,6.0,Sant Martí,1,74.0,t,322
494834,Sant Pau Barcelona Suites,111.0,Horta-Guinardó,2,173.0,t,119
498416,"Comfy & central, large shared terrace, Gothic",153.0,Ciutat Vella,3,46.0,t,218
502436,FANTASTIC RAMBLAS,124.0,Ciutat Vella,4,100.0,t,333
503765,Stay in a the coolest area near Sagrada Familia,2.0,Eixample,3,280.0,t,84
504657,fdl6 Let's enjoy this nice apartment in the center,417.0,Ciutat Vella,6,,t,365
507667,Habitación cerca sagrada familia-2,2.0,Eixample,2,60.0,t,5
508212,Central Bcn Atic Apartment with private Terrace,2.0,Eixample,2,209.0,t,46
197267,Cozy Studio in Gracia Neighborhood,17.0,Gràcia,3,41.0,t,40
198958,STUNNING sea view + pool Barcelona!,39.0,Sant Martí,8,397.0,t,61
206122,Amazing Loft in BCN Center,13.0,Gràcia,4,166.0,t,247
510923,Lovely Penthouse in Barcelona,2.0,Sant Andreu,4,160.0,t,233
511739,sf Nice 2 Bedr Acomodis Apartment Sagrada Familia,417.0,Eixample,5,259.0,t,364
512368,COZY & SUNNY ROOM,4.0,Ciutat Vella,2,19.0,t,278
512666,"bcn-rentals-ramblas 4, just 7-10 min to Ramblas",9.0,Ciutat Vella,6,311.0,t,256
512737,"bcn-rentals-ramblas 3, just 7-10 min to Ramblas",9.0,Ciutat Vella,5,195.0,t,253
513825,Three Bedroom Apartment Sagrada Familia - S3,16.0,Eixample,6,321.0,t,181
515230,LuxRent Apartment Num.15,12.0,Ciutat Vella,3,400.0,t,365
206167,"Bright, comfy, central and with character",2.0,Sants-Montjuïc,2,150.0,t,0
209673,Sweet Apartment in Gràcia district!,1.0,Gràcia,4,120.0,t,222
223096,"2BR Apartment, loft style with patio",1.0,Sants-Montjuïc,4,,t,0
234375,ATTIC VIEWS  (Sagrada Familia),1.0,Eixample,3,290.0,t,323
517407,Luxury Apartment Sagrada Familia,16.0,Eixample,8,450.0,t,166
519494,CHARMING HOUSE IN BARCELONA NEAR BEACH,4.0,Sant Martí,5,370.0,t,304
519631,Spacious Classical 1870's Charming Apartment,23.0,Eixample,8,309.0,t,294
520389,Great Design apartment in Barcelona center,47.0,Eixample,5,256.0,t,64
522705,MODERN FLAT. BARCELONA CENTER,1.0,Eixample,4,245.0,t,209
526016,LOVELY DOUBLE ROOM IN BARCELONA CENTER 1,2.0,Eixample,2,,t,0
528979,Suite con mucho encanto!,3.0,Gràcia,2,45.0,t,346
531195,Large 4BR bright with balconies,6.0,Eixample,11,341.0,t,200
238703,☆Comfy central Flat Sagrada Familia/Shared terrace,19.0,Eixample,8,265.0,t,112
534410,Loft avec Terrasse et vue Sagrada Familia 360’,2.0,Eixample,2,262.0,t,318
534550,Large 3BR bright with balconies,6.0,Eixample,9,284.0,t,172
536440,"Suite, bathroom & workspace Near Sagrada Familia!",1.0,Horta-Guinardó,1,,t,0
537176,Nice renewed apartament with WiFi (HUTB - 004893),1.0,Eixample,6,180.0,t,69
543342,Gran Vía Apartment Catalunya square,16.0,Eixample,4,176.0,t,279
546165,Private suite & bathroom in Poblenou,1.0,Sant Martí,2,,t,6
548052,sf 2 Bedroom Acomodis Apartment Sagrada Familia!,417.0,Eixample,5,259.0,t,365
239821,"APARTAMENT BCN MIRALL, in the best neighborhood",11.0,Sarrià-Sant Gervasi,8,225.0,t,243
241614,Bohemian Apartment With A Tune In Ramblas Area,1.0,Ciutat Vella,4,249.0,t,143
242335,BARCELONETA A · Barceloneta Beach Apartment SEASON,42.0,Ciutat Vella,4,,t,52
548085,"sf A Nice ""Acomodis"" Penthouse Sagrada Familia!",417.0,Eixample,3,212.0,t,365
554955,Long term Modernist Apartment minimon 32 nights,13.0,Ciutat Vella,4,68.0,t,365
558366,Single room: morning sun + lots of light in Born,2.0,Ciutat Vella,1,55.0,t,72
558886,3 bedrooms Apt in Barcelona center,6.0,Eixample,5,174.0,t,220
559801,COMFORTABLE AND VERY SPACIOUS LARGE,12.0,Sant Andreu,2,,t,0
560063,Estupendo apartamento en el Born,3.0,Ciutat Vella,2,100.0,t,56
563971,APARTAMENT IN BARCELONA CENTRE,1.0,Eixample,2,112.0,t,231
564809,UNA HABITACIÓN CON VISTAS,3.0,Sarrià-Sant Gervasi,2,,t,362
567962,SUN AND SKY TERRACE-LOFT APART,4.0,Sants-Montjuïc,3,65.0,t,260
252232,Nice apartment in Barcelona,128.0,Sant Martí,6,224.0,t,86
568129,Acogedora y céntrica habitación. Aprende español,2.0,Eixample,2,48.0,t,332
568185,Confortable y céntrica habitación.,2.0,Eixample,2,39.0,t,345
569610,Pl España  / Sants Station / MCW,1.0,Sants-Montjuïc,2,,t,0
572646,Comfort Apartment - Minimum 32 day stay,2.0,Ciutat Vella,2,70.0,t,54
576046,"HABITACIÓN DOBLE,  EDIFICIO 1900, Forum, Sag.Fami",2.0,Eixample,2,30.0,t,20
578180,Nice room with private bathroom,1.0,Sant Martí,3,,,0
578558,Cal Mateu 11  huéspedes - Sagrada Família,1.0,Eixample,11,520.0,t,308
582364,Spectacular Modern Uptown Duplex,1.0,Sarrià-Sant Gervasi,11,290.0,t,195
584348,family beach apartment,1.0,Sant Martí,7,215.0,t,173
253030,Double room with private bath and parking,1.0,Sant Andreu,1,,,0
255195,Lightly apartment with balcony to Las Ramblas,153.0,Ciutat Vella,4,44.0,t,229
256354,room in cosy flat....,3.0,Gràcia,1,28.0,t,114
256677,Barcelona Center!The Gothic Area,1.0,Ciutat Vella,2,75.0,t,231
585762,Sweett | Spacious loft. near Las Ramblas,13.0,Eixample,5,277.0,t,184
585872,"bmar Happy Flat in Barceloneta Beach, old town",417.0,Ciutat Vella,3,259.0,t,365
587203,sunny place close to the beach!,2.0,Sant Martí,2,21.0,t,95
588268,Loft apartment in Sagrada Familia,1.0,Eixample,2,180.0,t,297
588996,Renewed apartment at The Eixample (HUTB-003387),1.0,Eixample,6,180.0,t,93
590503,Cozy apartment  perfect situation - metro & WIFI,16.0,Eixample,5,185.0,t,127
594235,Sunny apartment in Gracia,1.0,Gràcia,2,,t,0
256982,Centric spacious nostalgic Room,1.0,Ciutat Vella,2,,t,356
265491,Beach room amazing view in center,2.0,Ciutat Vella,1,105.0,t,63
267816,Luxury Motor Yacht in Barcelona Port Forum,2.0,Ciutat Vella,8,,t,360
268017,Sweett |  Charming 3BR near Casa Mila,13.0,Eixample,6,349.0,t,193
268022,Sweett | Luminous 3BR near Plaza Catalunya,13.0,Eixample,6,340.0,t,176
269467,Sunny and quiet Loft next to Sagrada Familia,7.0,Eixample,2,229.0,t,318
270189,3 Bedroom apartment in Gracia,117.0,Gràcia,4,110.0,t,365
270197,*monthly stays* 4 Bedroom Apartment near Rambla,117.0,Ciutat Vella,6,74.0,t,0
594580,Sunny Attic with stylish garden terrace,11.0,Gràcia,6,206.0,t,252
598329,views apartment,2.0,Ciutat Vella,4,279.0,t,309
615381,"Pelai Street, between Universitat i Catalunya",2.0,Ciutat Vella,6,220.0,t,328
617704,sf Nice 1 bedroom flat Sagrada Familia months!,417.0,Eixample,3,140.0,t,365
619728,Atico Sagrada Familia,93.0,Eixample,6,192.0,t,114
621656,The Room in BCN,3.0,Sants-Montjuïc,2,60.0,t,93
630566,Magnífico Atico con piscina/jardín cerca de playa,1.0,Sant Martí,6,295.0,t,84
634786,Bcn City Oasis - Arty Apt -  5 ensuite bedrooms,15.0,Eixample,10,500.0,t,147
272282,"CHARMING, VERY SPACIOUS & BEST LOCATED",2.0,Eixample,8,,t,0
273229,Confortable and very well located,8.0,Eixample,2,115.0,t,20
273932,Oriental Design apartment,47.0,Eixample,4,239.0,t,65
274156,fn10 Happy duplex apartment in a great location!,417.0,Sants-Montjuïc,6,,t,365
274221,mr1 Gothic Happy Guests & Hammock City Center,417.0,Ciutat Vella,5,259.0,t,365
636702,big loft in the heart of Barcelona,4.0,Eixample,5,464.0,t,161
639137,"10 p, CENTRIC, NEAR SANTS STATION train AIRPORT",11.0,Eixample,10,271.0,t,213
639820,Private Roof Top Sant Antoni,49.0,Eixample,4,181.0,t,264
642491,Calm and large 3-bedroom apartment (Camp Nou),3.0,Les Corts,5,140.0,t,159
644534,Habitation ambiente Internacional!,3.0,Eixample,1,35.0,t,67
645513,"BEACH ,ATTIC APARTMENT TERRACE !",2.0,Sant Martí,4,140.0,t,320
648112,New room  Barcelona city center,1.0,Eixample,2,,t,0
652294,BONITA HABITACION CON BAÑO,2.0,Eixample,1,,,0
275336,Noname - Charming 3BR+Terrace just off Gran Via,34.0,Eixample,6,194.0,t,326
275346,Sunny terrace penthouse by Camp Nou Free Nespresso,34.0,Sarrià-Sant Gervasi,6,311.0,t,89
276527,Nice rustic apartament - Parc Güell  PARKING FREE,2.0,Gràcia,6,157.0,t,289
283231,FANTASTIC20m2TerraceVIEW-@800m BEACH/BORN/GOTIC,1.0,Sant Martí,4,159.0,t,176
288034,pb5 NICE BARCELONA QUIET & WITH TERRACE NICE FLAT,417.0,Eixample,2,140.0,t,365
288781,Private terrace in Old town,7.0,Ciutat Vella,2,124.0,t,364
290535,"vig1 Happy great location in El Born, old town!",417.0,Ciutat Vella,6,,t,365
291160,ica BEACH AREA - GREAT LOCATION - VILA OLÍMPICA!!!,417.0,Sant Martí,5,,t,365
295200,Amazing penthouse with private terrace,11.0,Gràcia,3,193.0,t,86
656990,Bedroom in charming Gracia apt,68.0,Sarrià-Sant Gervasi,2,105.0,t,55
659469,TANGER JAZZ POBLENOU BEACH & POOL,3.0,Sant Martí,4,215.0,t,153
662879,CENTRAL AND CHARMING FLAT,1.0,Sants-Montjuïc,5,150.0,t,255
663096,Gaudi Luxury by Cocoon Barcelona,10.0,Eixample,7,600.0,t,328
663732,Modern room for nice week-end,1.0,Ciutat Vella,2,,,0
667177,Big house (+ 100 m2)+Terrace+Wifi+Parking,6.0,Sant Martí,6,199.0,t,39
667248,Room for two with private bathroom,1.0,Eixample,2,,t,0
670782,Borrell · Near ramblas,24.0,Eixample,3,123.0,t,77
315769,Casa Tortilla Sagrada Familia,3.0,Gràcia,5,135.0,t,260
320506,The Loft Barcelona,1.0,Sants-Montjuïc,2,140.0,t,160
323854,Casa Sagrada Familia Bcn Doubleroom,1.0,Eixample,2,,t,0
330723,SUNNY ROOM WITH BALCONY,4.0,Ciutat Vella,2,21.0,t,233
330745,Hi-Tech BEACHFRONT Apt w/ sea view!,2.0,Sant Martí,4,220.0,t,230
330766,Urquinaona tranquilo y céntrico,2.0,Eixample,3,160.0,t,44
330957,Central 3 bedroom beautiful APT,23.0,Eixample,5,194.0,t,315
852195,ROOMY EIXAMPLE URGELL,115.0,Eixample,9,173.0,t,188
856159,Room for rent near the beach.,4.0,Sant Martí,3,25.0,t,303
857958,Amazing old Library in the heart of Gothic UNIQUE,3.0,Ciutat Vella,2,91.0,t,81
670956,Habitación en la playa de Barcelona,3.0,Sant Martí,3,,t,0
671458,Sunny and comfortable apartment in the city centre,10.0,Sants-Montjuïc,4,148.0,t,311
675175,FURNISED   ROOM   FOR  RENT,3.0,Nou Barris,1,,t,87
677012,HABITACION INDIVIDUAL  BARCELONA,3.0,Gràcia,1,,,0
679965,quiet and bright room near beach,1.0,Sant Martí,1,,t,19
682808,Central Townhouse Barcelona,17.0,Eixample,10,614.0,t,197
682871,Well connected & quiet apartment,17.0,Sarrià-Sant Gervasi,5,142.0,t,214
684160,Beautiful apartment for 1 people,3.0,Ciutat Vella,1,45.0,t,0
684639,Habitación grande y luminosa,3.0,Eixample,1,33.0,t,305
859105,"New apt. METRO BARCELONETA! Min 32dd, max 300dd",11.0,Ciutat Vella,4,109.0,t,330
865191,3BE/2BA with a Private Terrace Apartment,79.0,Eixample,6,159.0,t,16
865367,Beautiful Comfy Flat Valencia St A,79.0,Eixample,4,163.0,t,28
866298,LUXURY PENTHOUSE WITH PRIV. TERRACE,3.0,Sants-Montjuïc,4,199.0,t,244
866483,Amazing Suite with private terrace & two bedrooms,32.0,Gràcia,4,231.0,t,321
868198,Grande II apartment on Valencia St.,79.0,Eixample,8,217.0,t,41
871899,"Ático, Gracia! Terraza y vistas al mar!",22.0,Gràcia,2,201.0,t,156
875171,Days in Barcelona ☼♥ Eixample I,51.0,Les Corts,6,190.0,t,312
684643,Habitación cómoda y tranquila,3.0,Eixample,1,25.0,t,319
688295,Nice and calm room,3.0,Nou Barris,2,,,0
688527,Special apartment with terrace,1.0,Sant Martí,4,130.0,t,303
688946,Nice Renovated Apartment - El Clot,1.0,Sant Martí,4,186.0,t,319
689713,"Ciutadella/Born, Wi-Fi, Nice Views",1.0,Sant Martí,2,,t,0
694516,Independent apartment in house with garden,1.0,Horta-Guinardó,2,45.0,t,129
696301,Fantastic rooms in center of Bcn!,1.0,Ciutat Vella,2,,t,0
698593,Cosy and modern apartment in Gracia,5.0,Gràcia,3,170.0,t,81
699920,"Romantic hideaway, Pl. Catalunya, communal terrace",20.0,Eixample,2,236.0,t,133
876101,Beautiful apartment in Barcelona beach,1.0,Sant Martí,10,475.0,t,111
877884,"Brand new, great located apartment for families",1.0,Eixample,5,273.0,t,142
