X;Y;OBJECTID;Comunidad_;Provincia;Codigo_in;Termino_M;Identifica;Nombre;Longitud;Grado_ocup;Paseo_mar;Condicione;Zona_fonde;Nudismo;Vegetacio;Bandera_az;Auxilio_y_;Señalizac;Autobus;Aparcamien;Aseos;Lavapies;Duchas
-180.403.999.999.374;277.615.999.995.066;709;Canarias;Santa Cruz de Tenerife;38013;Frontera;604;Charco Azul;8;Bajo;0;Oleaje moderado;0;0;1;0;1;0;0;1;0;0;0
-629.360.000.039.035;435.696.999.991.695;525;"Asturias; Principado de";Asturias;33021;Cudillero;410;El Riego;10;Bajo;0;Oleaje fuerte;0;0;1;0;0;0;0;0;0;0;0
-903.060.000.037.967;425.205.999.988.134;1821;Galicia;A Coruña;15073;Ribeira;1859;Penisqueira;10;Bajo;1;Oleaje moderado;0;0;1;0;0;0;1;0;0;0;0
-898.369.999.964.489;425.448.999.988.072;1840;Galicia;A Coruña;15073;Ribeira;1868;Touro;10;Medio;0;Aguas tranquilas;0;0;0;0;0;0;1;1;0;1;0
343.039.999.984.509;396.331.999.992.724;2526;Illes Balears;Illes Balears;7062;Son Servera;2518;Es Torrent d'Es Morts;10;Bajo;0;Oleaje moderado;1;0;1;0;0;0;1;1;0;0;0
341.080.000.002.069;397.568.999.987.588;2532;Illes Balears;Illes Balears;7006;Artà;2524;Cala Dèntol;10;Bajo;0;Oleaje moderado;1;1;1;0;0;0;1;0;0;0;0
346.110.000.013.836;397.200.999.988.461;3195;Illes Balears;Illes Balears;7014;Capdepera;200703;Cala Lliteras;10;Bajo;1;Oleaje moderado;0;0;0;0; ; ; ;1;0;0;0
318.170.000.038.666;418.859.999.990.582;3284;Cataluña/Catalunya;Girona;17117;Palafrugell;201707;Cala Sant Roc;10;Bajo;0;Oleaje moderado;1;0;1;0;0;0;0;1;0;0;0
-902.559.999.996.614;425.196.999.991.773;3526;Galicia;A Coruña;15073;Ribeira;301541;A Covasa;10;Bajo;0;Oleaje moderado;0;0;1;0;0;0;1;1;0;0;0
-906.850.000.037.008;425.756.999.990.653;1732;Galicia;A Coruña;15073;Ribeira;1852;Ribeiriña;12;Medio;0;Aguas tranquilas;0;0;0;0;0;0;1;0;0;0;0
121.800.000.012.391;388.948.999.989.879;2272;Illes Balears;Illes Balears;7048;Sant Josep de sa Talaia;2269;Cala Truja;12;Bajo;0;Aguas tranquilas;1;0;0;0;0;0;0;0;0;0;0
-192.260.000.000.766;433.332.999.988.309;3497;País Vasco/Euskadi;Gipuzkoa;20064;Pasaia;402001;Alabortza;12;Medio;1;Oleaje moderado / Ventosa;0;0,5;1;0;0;0;1;0;1;0;1
312.399.999.965.697;421.299.999.990.237;3290;Cataluña/Catalunya;Girona;17062;L'Escala;201713;Cala del Pedrigolet;13;Bajo;0;Aguas tranquilas; ; ;1;0;0;0;1;0;0;0;0
-890.869.999.973.018;432.931.999.991.901;3257;Galicia;A Coruña;15068;Ponteceso;201516;Niño do Corvo;14;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;0;0;0;0
322.680.000.007.425;419.643.999.992.961;855;Cataluña/Catalunya;Girona;17013;Begur;961;Aiguafreda;15;Medio;0;Aguas tranquilas;1;0;1;0;0;0;0;1;1; ;1
321.520.000.001.319;419.379.999.990.744;939;Cataluña/Catalunya;Girona;17013;Begur;958;Platja d'en Malaret;15;Alto;0;Aguas tranquilas;1;0;1;0;1;1;0;0;0; ;0
318.190.000.040.317;41.886.399.998.967;1028;Cataluña/Catalunya;Girona;17117;Palafrugell;1045;Els Canyers;15;Medio;0;Oleaje moderado;0;0;0;0;0;0;0;0;0;0;1
-907.120.000.014.424;425.741.999.990.579;1731;Galicia;A Coruña;15073;Ribeira;1851;Ribeira Grande;15;Medio;0;Aguas tranquilas;1;0;0;0;0;0;1;1;0;0;0
-882.200.000.019.531;422.854.999.988.906;2149;Galicia;Pontevedra;36008;Cangas;2173;Cova de Balea;15;Bajo;0;Aguas tranquilas;0;0;1;0;0;0;1;1;0;0;0
337.080.000.030.572;395.577.999.988.573;2341;Illes Balears;Illes Balears;7033;Manacor;2360;Cala Morlanda;15;Bajo;0;Oleaje moderado;0;0;1;0;0;0;1;0;0;0;0
294.950.000.004.708;391.481.999.989.145;2394;Illes Balears;Illes Balears;7040;Palma de Mallorca;2429;Caló d'Es Palangres;15;Bajo;0;Aguas tranquilas;1;0;1;0;0;0;0;0;0;0;0
-147.650.000.039.285;374.597.999.989.832;2651;"Murcia; Región de";Murcia;30003;Águilas;2662;El Pozo;15;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;1;0;0;0
-134.594.000.001.528;291.323.999.995.301;3012;Canarias;Las Palmas;35010;Haría;3034;El Charcón;15;Medio;0;Aguas tranquilas;0;0;0;0;0;0;1;1;0;0;0
419.789.999.999.026;398.342.999.993.131;3142;Illes Balears;Illes Balears;7032;Maó;200706;Cala Binidali;15;Medio;0;Oleaje moderado;0;0;1;0;0;0;0;1;0;0;0
-8.393.700.000.256;43.383.999.998.893;3204;Galicia;A Coruña;15030;A Coruña;201523;Playa de Adormideras;15;Alto;0;Oleaje moderado;0;0;1;0;0;0;1;0;0;0;1
321.549.999.958.883;419.215.999.988.197;990;Cataluña/Catalunya;Girona;17117;Palafrugell;1053;Aigua Xelida;17;Medio;0;Oleaje moderado;1;0;1;0;0;0;0;1;0;0;0
12.889.999.997.078;389.928.999.991.495;3222;Illes Balears;Illes Balears;7046;Sant Antoni de Portmany;200724;Cala Grasioneta;17;Medio;0;Aguas tranquilas;1;0;1;0;0;0;0;0;1;0;1
321.609.999.963.847;419.240.999.992.863;3417;Cataluña/Catalunya;Girona;17117;Palafrugell;351710;Cala Marquesa;17;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;0;0;0;0
-579.029.999.963.804;436.129.999.991.048;565;"Asturias; Principado de";Asturias;33025;Gozón;452;Samarinchina;20;Bajo;0;Aguas tranquilas;1;0;1;0;0;0;0;0;0;0;0
-494.500.000.024.489;434.586.999.988.533;607;"Asturias; Principado de";Asturias;33036;Llanes;493;Villanueva;20;Medio;0;Oleaje fuerte;0;0;1;0;0;0;0;0;0;0;0
-180.118.999.998.261;277.845.999.995.044;710;Canarias;Santa Cruz de Tenerife;38013;Frontera;605;Charco de los Sargos;20;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;1;0;0;0
-179.925.999.995.773;277.956.999.989.649;712;Canarias;Santa Cruz de Tenerife;38013;Frontera;607;Punta Grande;20;Bajo;0;Oleaje fuerte;0;0;1;0;1;0;1;1;0; ;0
-165.466.000.003.595;284.174.999.991.964;817;Canarias;Santa Cruz de Tenerife;38028;Puerto de la Cruz;716;San Telmo;20;Medio;1;Oleaje moderado;0;0;0;1;1;1;1;0;0; ;1
305.770.000.001.265;417.912.999.993.713;972;Cataluña/Catalunya;Girona;17048;Castell-Platja d'Aro;995;Cala Pedrosa;20;Bajo;1;Aguas tranquilas;0;0;1;0;0;0;1;1;0;0;0
294.649.999.979.895;417.301.999.988.876;1080;Cataluña/Catalunya;Girona;17202;Tossa de Mar;1101;Cala Bona;20;Medio;0;Oleaje moderado;1;0;1;0;0;0;1;1;1;0;0
-0.063500000311071;385.710.999.994.183;1215;Comunitat Valenciana;Alicante/Alacant;3011;L'Alfàs del Pi;1243;Cala del Amerador;20;Bajo;0;Oleaje moderado;0;1;0;0;0;1;1;0;0;0;0
-844.650.000.013.129;43.372.499.999.313;1582;Galicia;A Coruña;15030;A Coruña;1547;La Cetárea;20;Bajo;0;Oleaje moderado;1;0;1;0;0;0;1;1;0;0;0
-819.400.000.035.858;434.106.999.988.328;1654;Galicia;A Coruña;15069;Pontedeume;1813;Centroña;20;Bajo;0;Oleaje moderado;0;0;1;0;0;0;1;0;0;0;1
-782.560.000.043.261;43.702.299.999.078;1774;Galicia;A Coruña;15061;Ortigueira;1800;Calas de Ladrido;20;Bajo;0;Aguas tranquilas;0;0;1;0;0;0;1;0;0;0;0
-887.640.000.020.289;418.976.999.987.527;2030;Galicia;Pontevedra;36023;A Guarda;2242;O Carreiro;20;Bajo;1;Oleaje moderado / Ventosa;0;0;0;0;0;0;1;1;0;0;1
256.640.000.025.282;397.059.999.990.952;2223;Illes Balears;Illes Balears;7063;Valldemossa;2548;Sa Cova;20;Bajo;0;Oleaje moderado;0;1;1;0;0;0;0;0;0;0;0
320.860.000.036.562;393.579.999.991.046;2244;Illes Balears;Illes Balears;7057;Santanyí;2453;Cala Egos;20;Alto;0;Aguas tranquilas;0;0;1;0;0;0;1;1;0;0;0
324.699.999.994.825;393.930.999.991.753;2248;Illes Balears;Illes Balears;7022;Felanitx;2457;Cala Mitjana;20;Medio;0;Aguas tranquilas;1;0;1;1;0;0;0;0;0;0;0
150.260.000.030.568;38.933.999.999.374;2286;Illes Balears;Illes Balears;7054;Santa Eulalia del Río;2293;Cala Olivera;20;Medio;0;Aguas tranquilas;0;0;1;0;0;0;0;1;1; ;0
430.300.000.014.861;39.864.699.999.113;2304;Illes Balears;Illes Balears;7064;Es Castell;2323;Cala Sant Esteve;20;Alto;0;Oleaje moderado;1;0;0;0;0;0;0;1;0;0;0
414.410.000.003.228;39.864.699.999.113;2308;Illes Balears;Illes Balears;7002;Alaior;2327;Cales Coves;20;Medio;0;Aguas tranquilas;0;0;1;0;0;0;0;1;0; ;0
379.830.000.017.884;400.035.999.987.365;2321;Illes Balears;Illes Balears;7015;Ciutadella de Menorca;2340;Cales Piques;20;Alto;0;Aguas tranquilas;0;0;1;0;0;0;1;1;1;1;1
328.599.999.958.053;394.752.999.990.223;2334;Illes Balears;Illes Balears;7033;Manacor;2353;Caló Bota;20;Bajo;0;Oleaje moderado;0;1;1;0;0;0;1;0;0;0;0
330.010.000.029.751;395.038.999.993.046;2339;Illes Balears;Illes Balears;7033;Manacor;2358;Cala Falco;20;Bajo;0;Oleaje moderado;0;1;1;0;0;0;1;0;0;0;0
335.419.999.983.113;395.476.999.989.125;2340;Illes Balears;Illes Balears;7033;Manacor;2359;Cala Petita;20;Bajo;0;Oleaje moderado;0;1;1;0;0;0;1;0;0;0;0
232.399.999.996.794;39.582.699.998.848;2372;Illes Balears;Illes Balears;7005;Andratx;2405;Cala En Cucó;20;Bajo;0;Oleaje moderado;1;0;0;0;0;0;0;0;0;0;0
283.379.999.991.036;393.623.999.991.286;2405;Illes Balears;Illes Balears;7031;Llucmajor;2440;Cala Beltrán;20;Bajo;0;Aguas tranquilas;1;0;1;0;0;0;1;0;0;0;0
-144.239.999.981.838;374.955.999.991.627;2594;"Murcia; Región de";Murcia;30024;Lorca;2715;Playa del Pelo;20;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;0;0;0;0
-112.690.000.022.512;375.487.999.991.842;2746;"Murcia; Región de";Murcia;30016;Cartagena;2765;Cala Salitrona;20;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;0;0;0;0
-0.703900000275015;376.270.999.991.914;2771;"Murcia; Región de";Murcia;30016;Cartagena;2790;Cala Medina;20;Bajo;0;Oleaje moderado / Oleaje fuerte;0;0;0;0;0;1;1;1;0;0;0
-0.698200000252756;376.306.999.990.278;2774;"Murcia; Región de";Murcia;30016;Cartagena;2793;Las Melvas;20;Medio;0;Oleaje moderado / Oleaje fuerte;1;0;0;0;1;1;1;1;0;0;0
-0.694900000428987;376.336.999.993.114;2779;"Murcia; Región de";Murcia;30016;Cartagena;2800;La Galera;20;Alto;1;Oleaje moderado / Oleaje fuerte;0;0;0;0;1;1;1;1;0;0;0
-134.889.000.003.469;29.253.299.999.508;3033;Canarias;Las Palmas;35024;Teguise;3065;Barranco de los Conejos;20;Bajo;0;Ventosa / Aguas tranquilas;0;1;0;0;0;0;0;0;0;0;0
-841.880.000.008.614;433.721.999.989.611;3207;Galicia;A Coruña;15030;A Coruña;201526;San Roque;20;Alto;1;Aguas tranquilas;0;0;0;0;1;1;1;0;0;1;1
-822.529.999.980.316;4.357.659.999.907;3242;Galicia;A Coruña;15054;Narón;201501;Lopesa;20;Bajo;0;Oleaje fuerte / Ventosa;0;0;1;0;0;0;0;0;0;0;0
-825.709.999.973.823;433.683.999.988.388;3266;Galicia;A Coruña;15075;Sada;201535;Arnela A Vella;20;Bajo;0;Aguas tranquilas;0;0;1;0;0;0;1;0;0;0;0
322.029.999.998.581;422.365.999.990.303;3294;Cataluña/Catalunya;Girona;17152;Roses;201719;Cala del Lledó;20;Bajo;0;Oleaje moderado / Ventosa; ;1;1;0; ; ; ; ;0;0;0
-86.195.000.000.663;423.145.999.991.882;3372;Galicia;Pontevedra;36045;Redondela;203605;Cova do Asno;20;Bajo;0;Aguas tranquilas;0;0;1;0;0;0; ;0;0;0;0
-926.179.999.973.822;429.016.999.991.702;3527;Galicia;A Coruña;15037;Fisterra;301542;Corbeiro;20;Bajo;0;Oleaje moderado;0;0;0;0;0;0;1;0;0;0;0
308.439.999.997.509;418.276.999.988.312;960;Cataluña/Catalunya;Girona;17034;Calonge;983;Cap Roig;21;Medio;0;Oleaje moderado;0;0;1;0;0;0;0;0;0; ;0
137.690.000.024.021;388.351.999.991.094;2226;Illes Balears;Illes Balears;7048;Sant Josep de sa Talaia;2282;Es Canal de S'Olla;21;Bajo;0;Aguas tranquilas;0;0;1;0;0;0;0;0;0;0;0
-199.960.000.008.777;43.320.799.998.917;2266;País Vasco/Euskadi;Gipuzkoa;20069;Donostia/San Sebastián;2581;Playa de la Isla;21;Alto;0;Oleaje suave;1;0;0;0;1;1;0;0;1;0;1
121.499.999.987.578;389.056.999.993.109;2270;Illes Balears;Illes Balears;7048;Sant Josep de sa Talaia;2267;Caló de S'Oratge;21;Bajo;0;Oleaje moderado;0;0;0;0;0;0;0;0;0;0;0
383.429.999.956.298;399.814.999.993.606;3214;Illes Balears;Illes Balears;7015;Ciutadella de Menorca;200716;Sa Caleta d'en Gorries;23;Alto;0;Aguas tranquilas;0;0;1;0;1;0;1;1;1;1;1
-870.320.000.025.137;422.588.999.990.695;3516;Galicia;Pontevedra;36057;Vigo;353603;Calo del Faro;24;Bajo;1;Oleaje moderado;0;0;0;0;0;0;1;0;0;0;0
-378.460.000.039.325;43.483.599.999.292;330;Cantabria;Cantabria;39075;Santander;849;Molinucos;25;Bajo;0;Oleaje moderado;0;0;0;0;1;0;1;0;0;0;0
-167.571.999.998.109;281.016.999.995.128;734;Canarias;Santa Cruz de Tenerife;38001;Adeje;629;El Varadero;25;Bajo;1;Aguas tranquilas;0;0;0;0;0;0;1;0;0;0;0
328.830.000.021.989;422.972.999.992.566;956;Cataluña/Catalunya;Girona;17032;Cadaqués;979;S'Alqueria Petita;25;Alto;0;Oleaje fuerte;0;0;1;0;0;0;1;1;0;0;0
309.150.000.011.315;418.326.999.990.246;966;Cataluña/Catalunya;Girona;17034;Calonge;989;Roques Planes;25;Medio;0;Oleaje moderado / Ventosa;0;1;1;0;0;0;0;1;0;0;0
0.799599999655946;408.788.999.989.635;998;Cataluña/Catalunya;Tarragona;43013;L'Ametlla de Mar;1146;Cala Pepo;25;Alto;1;Aguas tranquilas;1;0;1;0;0;0;0;1;0; ;1
0.847400000015998;409.265.999.989.045;1041;Cataluña/Catalunya;Tarragona;43013;L'Ametlla de Mar;1159;Cala Llobeta;25;Medio;0;Oleaje moderado;0;0;1;0;0;0;0;1;0; ;1
0.796000000256507;408.761.999.989.244;1118;Cataluña/Catalunya;Tarragona;43013;L'Ametlla de Mar;1144;Bon Caponet;25;Bajo;0;Aguas tranquilas;1;0;1;0;0;0;0;1;0;0;0
0.798000000421905;408.773.999.988.777;1119;Cataluña/Catalunya;Tarragona;43013;L'Ametlla de Mar;1145;Ribes Altes;25;Bajo;0;Aguas tranquilas;1;0;1;0;0;0;0;0;0;0;0
-0.185499999621354;385.150.999.990.534;1135;Comunitat Valenciana;Alicante/Alacant;3139;Villajoyosa/La Vila Joiosa;1406;Cala Fonda;25;Bajo;0;Oleaje fuerte;0;0;1;0;0;0;0;0;0;0;0
0.83709999961327;409.187.999.992.806;1142;Cataluña/Catalunya;Tarragona;43013;L'Ametlla de Mar;1156;Cala Trebol;25;Medio;1;Oleaje moderado;1;0;1;0;0;0;0;1;0; ;1
0.386300000058932;403.409.999.989.958;1391;Comunitat Valenciana;Castellón/Castelló;12089;Peníscola/Peñíscola;1465;Cala Ordí;25;Bajo;0;Oleaje moderado;0;0;0;0;0;0;0;1;0;0;0
0.30399999998962;402.601.999.987.621;1397;Comunitat Valenciana;Castellón/Castelló;12004;Alcalà de Xivert;1417;Cala Mundina;25;Bajo;0;Oleaje moderado;0;0;1;0;0;1;0;1;0;0;0
-826.159.999.966.124;433.750.999.987.489;1854;Galicia;A Coruña;15075;Sada;1882;Armenteiro;25;Bajo;0;Aguas tranquilas;0;1;0;0;0;0;1;0;0;0;0
28.060.000.003.061;398.517.999.990.962;2222;Illes Balears;Illes Balears;7019;Escorca;2547;Torrent de Pareis;25;Alto;0;Oleaje moderado;0;0;1;0;0;0;0;1;0; ;0
14.376.000.003.197;3.908.099.999.897;2256;Illes Balears;Illes Balears;7050;Sant Joan de Labritja;2369;Caló d'Es Moltons;25;Medio;0;Oleaje moderado;0;0;0;0;0;0;1;0;0; ;0
379.950.000.027.808;399.995.999.988.746;2320;Illes Balears;Illes Balears;7015;Ciutadella de Menorca;2339;Cala En Forcat;25;Alto;0;Aguas tranquilas;0;0;0;0;0;0;1;1;0;0;0
32.863.000.000.545;394.824.999.988.366;2335;Illes Balears;Illes Balears;7033;Manacor;2354;Cala Virgili;25;Bajo;0;Oleaje moderado;0;1;1;0;0;0;1;0;0;0;0
329.160.000.004.366;39.494.399.998.752;2338;Illes Balears;Illes Balears;7033;Manacor;2357;Cala Sequer;25;Bajo;0;Oleaje moderado;0;1;1;0;0;0;1;0;0;0;0
295.769.999.982.695;391.488.999.989.756;2400;Illes Balears;Illes Balears;7040;Palma de Mallorca;2435;Caló d'es Macs;25;Bajo;0;Aguas tranquilas;1;0;1;0;0;0;0;0;0;0;0
33.329.000.003.153;397.748.999.987.638;2536;Illes Balears;Illes Balears;7006;Artà;2528;Es Caló;25;Bajo;0;Oleaje moderado;1;1;1;0;0;0;1;1;0;0;0
-22.673.999.997.784;432.992.999.993.415;2571;País Vasco/Euskadi;Gipuzkoa;20081;Zumaia;2592;Algorri;25;Bajo;0;Oleaje fuerte / Ventosa;0;0,5;1;0;0;0;1;0;0;0;0
-0.691799999723435;376.346.999.988.144;2777;"Murcia; Región de";Murcia;30016;Cartagena;2798;Cala Túnez;25;Medio;1;Oleaje moderado / Oleaje fuerte;1;0;1;0;0;0;1;1;0;0;0
-156.548.999.998.238;281.642.999.995.691;2825;Canarias;Las Palmas;35009;Gáldar;2854;La Guancha;25;Bajo;0;Oleaje fuerte / Ventosa;0;1;0;0;0;0;1;0;0;0;0
-839.290.000.018.985;433.844.999.990.721;3205;Galicia;A Coruña;15030;A Coruña;201524;Los Moros;25;Medio;0;Oleaje moderado;0;1;1;0;0;0;1;0;0;0;0
-822.030.000.028.793;433.853.999.991.865;3259;Galicia;A Coruña;15069;Pontedeume;201518;Insua;25;Alto;0;Aguas tranquilas;0;1;1;0;0;0;1;0;0;0;0
318.349.999.963.722;418.879.999.989.708;3285;Cataluña/Catalunya;Girona;17117;Palafrugell;201708;La Platgeta;25;Alto;0;Oleaje moderado;1;0;0;0;0;0;0;1;0;1;1
308.940.000.038.862;418.324.999.993.668;964;Cataluña/Catalunya;Girona;17034;Calonge;987;Cala dels Esculls;26;Medio;0;Oleaje moderado / Ventosa;0;0;1;0;0;1;0;0;0;0;0
-270.159.999.975.648;434.136.999.991.648;3093;País Vasco/Euskadi;Bizkaia;48068;Mundaka;104801;Hondartzape;27;Bajo;0;Oleaje fuerte;0;0;1;0;0;0;1;0;0;1;1
320.660.000.020.022;419.078.999.993.683;3287;Cataluña/Catalunya;Girona;17117;Palafrugell;201710;Cala Pedrosa;27;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;0;1;0;0
-137.497.000.003.569;288.768.999.990.284;3354;Canarias;Las Palmas;35034;Yaiza;203524;Caleta del Fuego;27;Bajo;0;Aguas tranquilas;0;1;0;0;0;0;0;0;0;0;0
-360.849.999.975.272;367.438.999.993.433;360;Andalucía;Granada;18173;Salobreña;222;El Caletón;30;Bajo;0;Aguas tranquilas;1;0;0;0;0;0;1;0;0;0;0
-180.990.000.002.923;277.562.999.996.088;492;Canarias;Santa Cruz de Tenerife;38013;Frontera;603;Charco Azul;30;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;1;0;0;0
-461.000.000.038.636;433.959.999.987.818;575;"Asturias; Principado de";Asturias;33036;Llanes;462;Cobijeru;30;Medio;0;Aguas tranquilas;0;0;1;0;0;0;0;0;0;0;0
-482.789.999.999.242;434.375.999.991.317;608;"Asturias; Principado de";Asturias;33036;Llanes;494;Xiglu;30;Alto;0;Oleaje fuerte / Ventosa;0;0;1;0;0;0;0;0;0;0;0
-64.825.000.002.929;43.552.399.999.223;667;"Asturias; Principado de";Asturias;33034;Valdés;545;Picón;30;Bajo;0;Oleaje fuerte;0;0;1;0;0;0;0;0;0;0;0
-659.219.999.993.335;435.526.999.992.926;678;"Asturias; Principado de";Asturias;33034;Valdés;556;Turbeiriza;30;Bajo;0;Oleaje fuerte;0;0;1;0;0;0;0;0;0;0;0
-16.651.499.999.603;2.800.819.999.931;755;Canarias;Santa Cruz de Tenerife;38006;Arona;650;La Ballena;30;Bajo;0;Aguas tranquilas;0;0;0;0;0;0;1;0;0; ;0
-169.197.999.997.841;283.426.999.995.008;761;Canarias;Santa Cruz de Tenerife;38010;Buenavista del Norte;656;La Ballenita;30;Medio;0;Oleaje moderado;1;0;0;0;1;0;1;1;0;0;0
-168.284.999.998.688;28.200.799.999.252;796;Canarias;Santa Cruz de Tenerife;38019;Guía de Isora;685;Alcalá;30;Medio;1;Aguas tranquilas;0;0;0;0;1;1;1;0;0;1;0
-354.149.999.960.133;435.003.999.988.619;851;Cantabria;Cantabria;39006;Arnuero;796;Los Franceses;30;Medio;0;Oleaje moderado / Ventosa;0;0;0;0;1;0;1;0;0;0;0
328.080.000.004.875;422.885.999.990.359;951;Cataluña/Catalunya;Girona;17032;Cadaqués;974;Es Poal;30;Bajo;0;Aguas tranquilas / Ventosa;1;0;0;0;0;0;1;0;0;0;0
328.169.999.967.403;422.875.999.993.002;952;Cataluña/Catalunya;Girona;17032;Cadaqués;975;Es Pianc;30;Medio;0;Aguas tranquilas;1;0;0;0;0;0;1;0;0;0;0
328.770.000.017.025;422.843.999.988.723;954;Cataluña/Catalunya;Girona;17032;Cadaqués;977;Ros;30;Medio;0;Aguas tranquilas / Ventosa;1;0;1;0;0;0;1;1;0;0;1
313.530.000.014.237;421.263.999.991.712;1002;Cataluña/Catalunya;Girona;17062;L'Escala;1018;Port d'en Perris;30;Medio;0;Aguas tranquilas;1;0;0;0;0;0;1;1;0; ;1
316.409.999.982.934;424.303.999.990.324;1055;Cataluña/Catalunya;Girona;17138;Portbou;1068;Del Pi;30;Bajo;0;Oleaje moderado;0;0;0;0;0;0;1;0;0;0;0
0.824199999893868;409.021.999.988.802;1138;Cataluña/Catalunya;Tarragona;43013;L'Ametlla de Mar;1152;Cala Moscas;30;Alto;0;Oleaje moderado;1;0;1;0;0;0;0;1;0; ;0
-0.479099999649155;381.660.999.988.025;1228;Comunitat Valenciana;Alicante/Alacant;3014;Alacant/Alicante;1256;Puerto Viejo (Isla de Tabarca);30;Medio;0;Oleaje moderado;1;0;0;0;1;0;0;1;1;0;0
0.387999999750362;403.443.999.992.261;1392;Comunitat Valenciana;Castellón/Castelló;12089;Peníscola/Peñíscola;1466;Cala Puerto Azul;30;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;1;0;0;0
0.374099999948228;403.308.999.992.335;1425;Comunitat Valenciana;Castellón/Castelló;12089;Peníscola/Peñíscola;1461;Cala del Volante;30;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;1;0;0;0
-891.650.000.037.529;432.927.999.992.608;1780;Galicia;A Coruña;15068;Ponteceso;1806;Santa Mariña de Brantuas;30;Bajo;0;Oleaje fuerte;0;0;1;0;0;0;1;0;0;0;0
-887.170.000.026.333;424.139.999.990.986;2021;Galicia;Pontevedra;36051;Sanxenxo;2095;Pociñas;30;Bajo;0;Oleaje moderado;0;0;1;0;0;0;1;0;0;0;0
-885.190.000.042.239;421.255.999.989.597;2025;Galicia;Pontevedra;36003;Baiona;2237;Os Frades;30;Bajo;1;Oleaje moderado / Ventosa;0;0;1;0;1;0;1;0;1;0;0
-887.629.999.974.547;419.080.999.992.553;2029;Galicia;Pontevedra;36023;A Guarda;2241;Fedorento;30;Medio;1;Oleaje moderado / Ventosa;0;0;0;0;0;0;1;1;0;0;1
152.010.000.040.555;386.576.999.987.445;2212;Illes Balears;Illes Balears;7024;Formentera;2399;Caló d'Es Morts;30;Alto;0;Aguas tranquilas;1;1;0;0;0;0;0;0;0; ;0
122.730.000.044.391;389.496.999.992.853;2249;Illes Balears;Illes Balears;7048;Sant Josep de sa Talaia;2260;Cala Llentia;30;Bajo;0;Aguas tranquilas;1;0;0;0;0;0;0;0;0;0;0
146.479.999.987.436;390.994.999.994.069;2253;Illes Balears;Illes Balears;7050;Sant Joan de Labritja;2366;Caló d'En Calders;30;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;0;0;0;0
150.899.999.993.667;391.025.999.988.403;2299;Illes Balears;Illes Balears;7050;Sant Joan de Labritja;2318;Cala Xuclá;30;Medio;0;Oleaje moderado;0;0;1;0;0;0;0;1;0; ;0
150.459.999.957.275;391.004.999.988.933;2300;Illes Balears;Illes Balears;7050;Sant Joan de Labritja;2319;S'Illot d'En Renclí;30;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;1;1;0;0
429.240.000.017.025;398.288.999.988.992;2305;Illes Balears;Illes Balears;7052;Sant Lluís;2324;Cala Alcaufar;30;Medio;0;Aguas tranquilas;1;0;0;0;0;0;1;1;0; ;0
381.329.999.962.279;400.006.999.991.956;2319;Illes Balears;Illes Balears;7015;Ciutadella de Menorca;2338;Cala'n Blanes;30;Alto;0;Aguas tranquilas;1;0;1;0;1;1;1;1;1;1;1
301.020.000.012.657;393.117.999.989.176;2326;Illes Balears;Illes Balears;7059;Ses Salines;2345;Playeta d'Es Delfí;30;Bajo;0;Aguas tranquilas;0;0;1;0;0;0;0;0;0;0;0
31.188.000.001.252;39.312.999.999.033;2331;Illes Balears;Illes Balears;7057;Santanyí;2350;Cala s'Almonia;30;Bajo;0;Oleaje moderado;0;1;1;0;0;0;0;1;0;0;0
312.140.000.034.023;393.135.999.990.184;2332;Illes Balears;Illes Balears;7057;Santanyí;2351;Caló d'Es Moro;30;Bajo;0;Oleaje moderado;0;1;1;0;0;0;0;1;0;0;0
328.619.999.959.704;394.840.999.989.619;2336;Illes Balears;Illes Balears;7033;Manacor;2355;Cala Pilota;30;Bajo;0;Oleaje moderado;0;1;1;0;0;0;1;0;0;0;0
139.650.000.006.464;387.310.999.991.138;2356;Illes Balears;Illes Balears;7024;Formentera;2387;Caló d'es Moro;30;Bajo;0;Aguas tranquilas;1;1;1;0;0;0;0;0;0;0;0
273.690.000.043.019;394.869.999.991.338;2403;Illes Balears;Illes Balears;7031;Llucmajor;2438;Cala Blava;30;Medio;0;Aguas tranquilas;1;0;1;0;0;1;1;0;0; ;0
260.639.999.996.776;397.365.999.992.174;2514;Illes Balears;Illes Balears;7063;Valldemossa;2502;Caló de S'Estaca;30;Bajo;0;Oleaje moderado;0;0;0;0;0;0;0;0;0;0;0
34.368.999.999.335;396.463.999.993.783;2527;Illes Balears;Illes Balears;7014;Capdepera;2519;Cala Rotja;30;Bajo;0;Oleaje moderado;1;0;1;0;0;0;1;1;0;0;0
