X;Y;OBJECTID;Comunidad_;Provincia;Codigo_in;Termino_M;Identifica;Nombre;Longitud;Grado_ocup;Paseo_mar;Condicione;Zona_fonde;Nudismo;Vegetacio;Bandera_az;Auxilio_y_;Señalizac;Autobus;Aparcamien;Aseos;Lavapies;Duchas
-163.628.000.004.296;283.261.999.989.491;719;Canarias;Santa Cruz de Tenerife;38020;Güímar;693;El Socorro;1010;Bajo;0;Oleaje fuerte;0;0;0;0;0;0;1;0;0;0;0
-0.142800000132253;389.782.999.988.996;1543;Comunitat Valenciana;Valencia/València;46113;Daimús;1502;Daimús;1020;Alto;1;Aguas tranquilas / Ventosa;0;0;1;1;1;1;1;1;1;1;0
-0.119800000026636;398.154.999.993.606;2462;Comunitat Valenciana;Castellón/Castelló;12082;Nules;101207;Playa del Rajadell;1035;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;1;0;0;0
402.459.999.958.132;399.205.999.992.459;3200;Illes Balears;Illes Balears;7902;Es Migjorn Gran;200712;Binigaus;1040;Medio;0;Aguas tranquilas;0;1;1;0;0;0;0;0;0;0;0
277.610.000.007.901;41.649.599.999.369;2446;Cataluña/Catalunya;Barcelona;8110;Malgrat de Mar;100810;Playa de la Punta de la Tordera;1045;Bajo;0;Oleaje moderado / Ventosa;0;0;0;0;0;1;1;1;0; ;1
-311.969.999.975.047;367.504.999.990.669;49;Andalucía;Almería;4003;Adra;9;La Juana;1050;Bajo;0;Oleaje moderado / Ventosa;0;1;1;0;0;0;1;1;0;0;0
-369.740.000.036.786;367.305.999.994.321;97;Andalucía;Granada;18017;Almuñécar;204;San Cristóbal;1050;Alto;1;Aguas tranquilas;1;0;1;1;1;1;1;1;1;0;1
-447.840.000.028.212;366.437.999.990.377;462;Andalucía;Málaga;29901;Torremolinos;355;Los Álamos;1050;Alto;0;Oleaje moderado;1;0;0;1;0;1;1;1;0;1;1
-822.799.999.957.729;434.289.999.988.863;1450;Galicia;A Coruña;15004;Ares;1568;Seselle;1050;Medio;0;Aguas tranquilas;1;0;1;0;1;1;1;1;1;1;1
-0.057899999847903;398.733.999.993.508;2460;Comunitat Valenciana;Castellón/Castelló;12032;Borriana/Burriana;101203;Grao - Malvarrosa;1050;Alto;0;Oleaje moderado;0;0;1;1;1;1;1;1;1;1;0
-136.053.999.996.514;289.420.999.994.023;3037;Canarias;Las Palmas;35028;Tías;3069;Guacimeta;1050;Medio;1;Ventosa / Aguas tranquilas;0;0;0;0;0;0;1;1;0;0;0
-777.760.000.005.601;437.336.999.992.628;3531;Galicia;A Coruña;15061;Ortigueira;301546;Sarridal;1050;Bajo;0;Oleaje fuerte / Ventosa;0;0;1;0;0;0;0;0;0;0;0
-0.257700000202782;384.965.999.987.626;1374;Comunitat Valenciana;Alicante/Alacant;3139;Villajoyosa/La Vila Joiosa;1399;El Parais;1060;Medio;1;Oleaje moderado / Ventosa;0;0;1;1;1;1;1;1;1;1;0
-0.645699999953144;380.934.999.992.907;1335;Comunitat Valenciana;Alicante/Alacant;3076;Guardamar del Segura;1333;Babilonia;1074;Alto;0;Oleaje moderado;0;0;1;0;0;0;1;1;0;1;0
-0.56969999995573;381.912.999.987.516;1349;Comunitat Valenciana;Alicante/Alacant;3121;Santa Pola;1371;Gran Playa;1080;Alto;0;Aguas tranquilas;0;0;0;0;1;1;1;1;1;1;0
218.950.000.007.301;413.721.999.991.531;905;Cataluña/Catalunya;Barcelona;8019;Barcelona;876;Sant Sebastià;1085;Alto;1;Aguas tranquilas;1;0;0;1;1;1;1;1;1; ;1
228.930.000.024.216;414.693.999.987.641;110;Cataluña/Catalunya;Barcelona;8126;Montgat;904;Pla de Montgat;1095;Medio;0;Oleaje moderado;0;0;0;0;1;1;1;1;1; ;1
-476.009.999.977.488;364.864.999.992.981;2;Andalucía;Málaga;29069;Marbella;318;Las Cañas;1100;Medio;0;Oleaje moderado;1;0;0;0;0;1;1;1;1; ;1
-724.780.000.025.613;37.203.399.998.857;7;Andalucía;Huelva;21042;Isla Cristina;202106;Urbasur;1100;Medio;0;Oleaje moderado;1;0;1;0;1;1;1;1;1;1;1
-730.530.000.007.094;371.959.999.987.961;46;Andalucía;Huelva;21042;Isla Cristina;236;Central;1100;Alto;1;Oleaje moderado;1;0;1;0;1;1;1;1;1;1;1
-302.489.999.999.485;367.445.999.990.015;50;Andalucía;Almería;4003;Adra;10;Playa de Poniente;1100;Alto;1;Oleaje moderado / Ventosa;1;0;0;1;1;1;1;1;1;1;1
-496.170.000.027.861;364.839.999.993.422;215;Andalucía;Málaga;29069;Marbella;323;Nueva Andalucía;1100;Alto;1;Oleaje moderado;1;0;1;0;1;1;1;1;1;1;1
-332.199.999.986.297;433.999.999.988.024;289;Cantabria;Cantabria;39020;Castro-Urdiales;806;Oriñón;1100;Alto;0;Oleaje moderado / Ventosa;0;0;1;0;1;1;1;1;1;0;1
-359.629.999.964.201;367.406.999.991.947;363;Andalucía;Granada;18173;Salobreña;225;La Guardia;1100;Medio;0;Oleaje moderado;0;0;0;0;1;1;1;1;1;1;1
-516.129.999.971.861;364.138.999.993.375;390;Andalucía;Málaga;29051;Estepona;270;El Cristo;1100;Alto;0;Aguas tranquilas;1;0;0;1;1;1;1;1;1;1;1
-437.180.000.044.885;367.203.999.988.306;409;Andalucía;Málaga;29067;Málaga;295;Pedregalejo;1100;Alto;1;Oleaje moderado;1;0;1;0;1;1;1;1;1;1;1
-523.059.999.961.107;363.543.999.993.566;413;Andalucía;Málaga;29068;Manilva;300;La Duquesa;1100;Alto;1;Oleaje moderado;1;0;0;0;0;1;1;1;1;1;1
-52.425.000.001.461;363.206.999.992.787;414;Andalucía;Málaga;29068;Manilva;301;Las Arenas;1100;Medio;0;Oleaje moderado;1;0;0;0;0;0;1;1;0;0;0
-423.980.000.031.151;367.117.999.987.773;456;Andalucía;Málaga;29082;Rincón de la Victoria;350;Los Rubios;1100;Medio;0;Oleaje moderado;1;0;1;0;0;0;1;1;1;1;1
-448.660.000.006.196;366.334.999.990.937;463;Andalucía;Málaga;29901;Torremolinos;356;Playamar;1100;Alto;1;Oleaje moderado;1;0;0;0;0;1;1;1;1;1;1
-538.490.000.024.526;43.527.199.999.048;621;"Asturias; Principado de";Asturias;33076;Villaviciosa;561;Misiego;1100;Medio;0;Aguas tranquilas;1;0;1;0;1;1;0;1;0;0;0
-537.740.000.007.412;435.323.999.993.606;623;"Asturias; Principado de";Asturias;33076;Villaviciosa;563;Rodiles;1100;Alto;1;Oleaje fuerte / Ventosa;0;0;1;1;1;1;0;1;1;0;1
230.460.000.016.009;414.749.999.993.287;922;Cataluña/Catalunya;Barcelona;8118;El Masnou;893;Platja del Masnou;1100;Medio;0;Aguas tranquilas / Ventosa;0;0;0;1;1;1;1;0;0;1;1
112.189.999.981.159;410.745.999.990.426;1123;Cataluña/Catalunya;Tarragona;43905;Salou;1185;Playa de Poniente;1100;Alto;1;Aguas tranquilas;1;0;0;0;1;1;1;1;1; ;1
136.599.999.978.791;411.312.999.987.923;1181;Cataluña/Catalunya;Tarragona;43148;Tarragona;1205;Tamarit;1100;Medio;0;Aguas tranquilas;0;0;1;1;1;1;1;1;1; ;1
137.919.999.998.128;41.134.099.999.152;1182;Cataluña/Catalunya;Tarragona;43012;Altafulla;1206;Altafulla;1100;Medio;1;Aguas tranquilas;0;0;0;1;1;1;1;1;1;1;1
157.079.999.965.798;411.866.999.989.238;1195;Cataluña/Catalunya;Tarragona;43037;Calafell;1221;Calafell;1100;Alto;1;Aguas tranquilas;0;0;0;1;1;1;1;1;1;1;1
0.104900000141803;388.478.999.993.615;1299;Comunitat Valenciana;Alicante/Alacant;3063;Dénia;1296;Punta del Raset;1100;Alto;0;Aguas tranquilas;1;0;1;1;1;1;1;1;1;1;1
